transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region,transects_reef_section,transects_type,transects_se_type,expedition_day,duration,transects_length,dive_maximum_depth,dive_visibility,dive_temperature,dive_start_lat,dive_start_lng,dive_end_lat,dive_end_lng,dive_team,dive_divers,tech_stereo_gopro,tech_stereo_gopro_valid,tech_stereo_gopro_comments,tech_stereo_gopro_name,tech_gopro_name,tech_altimeter,tech_altimeter_valid,tech_altimeter_synced,tech_altimeter_name,tech_altimeter_comments,tech_imu,tech_gps,tech_sensor,tech_floatie_gopro,tech_lasers,tech_sv_valid,tech_sv_camera,tech_sv_tilted,tech_sv_image_numbers,tech_sv_comments,tech_sv_name,tech_sv_issues,tech_engagement_notes,obs_topography,obs_reef_cover,obs_fish_life,obs_disease_incidence,obs_bleaching_intensity,obs_human_impacts,dive_observations
37001,37,2015-03-29 12:50:00,2015-03-29 13:42:00,IO,Indian.Ocean,Maldives,mv,5,Hulumale.PW1,Atoll,Maldives,Indian_Ocean,Hulumale.PW1,Shallow,Scientific,1,52,0,12,20,29,4'12.90504N,73'32.90048,4'11.96607N,73'32.59462E,16,Benjamin Neal,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.03.29_Indian.Ocean_Maldives_Hulumale.PW1,,Yes,Yes,Yes,,Yes,YEs,,Yes,008-793,Good first dive! No technical issues,,,,Gentle slope,"Coral, Rubble","abundant smallsizes - schools of trigger fish, fusiliers, unicorn fish, some parrotfish",Rare,Rare,"Transect adjacent to land filled 10 yrs ago, upstream recently (<1yr) filled, transect between 2 sewage outfall pipes, 1 or 2 fishing lines"
37002,37,2015-03-30 10:03:00,2015-03-30 11:10:00,IO,Indian.Ocean,Maldives,mv,5,Reethirah.PL1,Atoll,Maldives,Indian_Ocean,Reethirah.PL1,Shallow,Scientific,2,65,0,11.7,15,30,4'31.35289N,73'21.74877E,4'30.66404N,73'21.65260E,16,Benjamin Neal,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.03.30_Indian.Ocean_Maldives_Reethirah.PL1_Rasfari.UL1,,Yes,Yes,Yes,,Yes,Yes,,Yes,103-973,,,,,Gentle Slope,Coral,"abundant small sizes, schools of trigger fish",Very Rare,Very Rare,"Transect off of One & Only Resort, 5 fishing lines"
37003,37,2015-03-30 15:37:00,2015-03-30 16:32:00,IO,Indian.Ocean,Maldives,mv,5,Rasfari.UL1,Atoll,Maldives,Indian_Ocean,Rasfari.UL1,Shallow,Scientific,2,55,0,12,10,30,4'23.89828N,73'20.80826E,4'23.24874N,73'20.85686E,14,Pete Dalton,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.03.30_Indian.Ocean_Maldives_Reethirah.PL1_Rasfari.UL1,,No,Yes,Yes,,Yes,Yes,,Yes,977-1846,,,IMU file corrupted when tried to download.  Replaced with reformatted card,,Gentle Slope,Coral,Abundant Small Sizes,Very Rare,Rare,"In MPA zone, 15 fishing lines"
37004,37,2015-03-31 10:37:00,2015-03-31 11:43:00,IO,Indian.Ocean,Maldives,mv,5,Velidhoo.MRC,Atoll,Maldives,Indian_Ocean,Velidhoo.MRC,Shallow,Scientific,3,66,0,12,20,29,4'11.60458N,72'49.24333E,4'11.56705N,72'48.44660E,16,Benjamin Neal,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.03.31_Indian.Ocean_Velidhoo.MRC_Coral.Gardens,,Yes,Yes,Yes,,Yes,Yes,,Yes,~055-975,,,One Laser very hard to turn off/on,,Steep Slope,Coral,Abundant Small Sizes,Very Rare,Very Rare,"2 moorings, fishing lines"
37005,37,2015-03-31 16:13:00,2015-03-31 17:02:00,IO,Indian.Ocean,Maldives,mv,5,Coral.Gardens,Atoll,Maldives,Indian_Ocean,Coral.Gardens,Shallow,Engagement,3,49,0,12,15,29,4'10.85577N,72'44.99473E,4'10.85577N,72'44.89986E,16,Benjamin Neal,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.03.31_Indian.Ocean_Velidhoo.MRC_Coral.Gardens,,Yes,Yes,Yes,,Yes,Yes,,Yes,981-1216,,,One Laser very hard to turn off/on,,Gentle Slope,Coral,Abundant Small Sizes,Common,Very Rare,
37006,37,2015-04-01 09:13:00,2015-04-01 10:18:00,IO,Indian.Ocean,Maldives,mv,5,Mathiveri.PW2,Atoll,Maldives,Indian_Ocean,Mathiveri.PW2,Shallow,Scientific,4,63,0,11.5,15,29,4'11.30840N,72'44.19594E,4'12.28518N,72'44.01150E,16,Benjamin Neal,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.04.01_Indian.Ocean_Maldives_Mathiveri.PW2_Dinoluga.UW1,,Yes,Yes,Yes,,Yes,Yes,,Yes,134-1029,,,,,"Gentle slope, spur and groove",Coral,Abundant Small Sizes,Common - Trematatodiasis,Very Rare,Veronica's light loggers @ end of transect
37007,37,2015-04-01 14:51:00,2015-04-01 16:01:00,IO,Indian.Ocean,Maldives,mv,5,Dinoluga.UW1,Atoll,Maldives,Indian_Ocean,Dinoluga.UW1,Shallow,Scientific,4,70,0,11,20,29,4'9.04307N,72'43.87115E,4'9.03339N,72'43.85744E,16,Benjamin Neal,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.04.01_Indian.Ocean_Maldives_Mathiveri.PW2_Dinoluga.UW1,,Yes,Yes,Yes,,Yes,Yes,,Yes,1032-1960,,,,,Spurs and Grooves,"Coral, Soft Corals",Abundant Small Sizes,Common - Trematatodiasis,Very Rare,1 fishing line
37008,37,2015-04-02 09:55:00,2015-04-02 10:58:00,IO,Indian.Ocean,Maldives,mv,5,Fesdhoo.MRC,Atoll,Maldives,Indian_Ocean,Fesdhoo.MRC,Shallow,Scientific,5,60,0,10,0,29,4'0.50388N,72'48.68643E,4'0.49227N,72'48.31909E,14,Pete Dalton,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.04.02_Indian.Ocean_Maldives_Fesdhoo.MRC_Kandholhudhoo.MRC,,Yes,Yes,Yes,,Yes,Yes,,Yes,095?-998,"Altimeter fell off in the water, re-cable tied",,,,"Wall, Steep Slope","Coral, Soft Corals, Sand","Abundant Small Sizes, Abundant Big Sizes",Very Rare,Very Rare,"Pipes, fishing lines, 2 sets of divers (big resort)"
37009,37,2015-04-02 14:34:00,2015-04-02 16:01:00,IO,Indian.Ocean,Maldives,mv,5,Kandholhudhoo.MRC,Atoll,Maldives,Indian_Ocean,Kandholhudhoo.MRC,Shallow,Scientific,5,44,0,12,0,29,4'0.05207N,72'52.81584E,4'0.21974N,72'52.94736E,14,Pete Dalton,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.04.02_Indian.Ocean_Maldives_Fesdhoo.MRC_Kandholhudhoo.MRC,,Yes,Yes,Yes,,Yes,Yes,,Yes,1073-1640,SVII battery failed - fuse Pete is attending,,,,"Wall, Steep Slope","Coral, Soft Corals","Abundant Small Sizes, Abundant Big Sizes",None,Very Rare,"Moorings, pipes, fishing lines, but not so bad"
37010,37,2015-04-03 09:30:00,2015-04-03 10:42:00,IO,Indian.Ocean,Maldives,mv,5,Dhiggaru.Falhu.UL2,Atoll,Maldives,Indian_Ocean,Dhiggaru.Falhu.UL2,Shallow,Scientific,6,72,0,12,35,30,3'42.80441N,72'58.88254E,3'41.89029N,72'58.69261E,16,Benjamin Neal,,No,No,No GoPros were used.,,,Yes,Yes,Yes,alt2015.04.03_Indian.Ocean_Maldives_Dhiggaru.Falhu.UL2_Dhangethi.PL2,,Yes,Yes,Yes,,Yes,Yes,,Yes,084-897,,,,,Wall/Steep Slope,Coral,Abundant Small Sizes,Very Rare,None,"1 fishing line, 1 fishing net"
