transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region,transects_reef_section,transects_type,transects_se_type,expedition_day,duration,transects_length,dive_maximum_depth,dive_visibility,dive_temperature,dive_start_lat,dive_start_lng,dive_end_lat,dive_end_lng,dive_team,dive_divers,tech_stereo_gopro,tech_stereo_gopro_valid,tech_stereo_gopro_comments,tech_stereo_gopro_name,tech_gopro_name,tech_altimeter,tech_altimeter_valid,tech_altimeter_synced,tech_altimeter_name,tech_altimeter_comments,tech_imu,tech_gps,tech_sensor,tech_floatie_gopro,tech_lasers,tech_sv_valid,tech_sv_camera,tech_sv_tilted,tech_sv_image_numbers,tech_sv_comments,tech_sv_name,tech_sv_issues,tech_engagement_notes,obs_topography,obs_reef_cover,obs_fish_life,obs_disease_incidence,obs_bleaching_intensity,obs_human_impacts,dive_observations
31001,31,2014-08-06 11:46:00,2014-08-06 12:25:00,NOAA,Atlantic,United States,us,-5,Florida Upper Keys,Patch,Florida Keys,Great Caribbean,Hens And Chikens,Shallow,Scientific/Engagement,1,39,1.6,5,0,31,,,,,2,"Christophe Bailhache, Manuel Gonzalez",No,No,New Heron 3+ and housing. Connection issues,,,No,No,No,NA,New,No,Yes,Yes,go-pro,No,Yes,d,Yes,13-545,Right camera lost connection (Camera Battery issues),,Right camera cuted off after 40 images,Heathly coral colonies,Reef crest. Patch reef,Sand/ Soft corals/Sponges,"Abundant large herbivorus (i.e., midnight parrotfish)",NA,Rare,Large number of turoists,Iconic site for NOAA Marine Sanctuaries Team. SVII travelled along the reef crest.
31002,31,2014-08-06 13:59:00,2014-08-06 14:20:00,NOAA,Atlantic,United States,us,-5,Jesus Christ Statue,Patch,Florida Keys,Great Caribbean,Jesus Christ Statue,Shallow,Engagement,1,39,1.6,50,0,0,,,,,1,"Christophe Bailhache, Catherine Kim",No,No,,No,,Yes,No,No,NA,,No,No,Yes,go-pro,Yes,Yes,d,No,,,,,,Reef crest. Patch reef,Sponges,Abundant,BA,Rare,No,Popular site for tourism. Jesus Christ statue
31003,31,2014-08-07 14:37:41,2014-08-07 17:14:13,NOAA,Atlantic,United States,us,-4,Aquarius Reef Base,,Florida Keys,Great Caribbean,Aquarius,Shallow,Engagement,2,157,0.744,20,0,30,,,,,2,"Christophe Bailhache,  Manuel Gonzlaez",No,No,,,,No,No,No,alt2014.08.07_FKNMS.North_Upper.Keys_Conch.Reef.TXT,NA,No,No,Yes,go-pro,No,Yes,d,Yes,25-614,,,,3 levels of Aquarius,NA,NA,NA,NA,NA,NA,Aquaius underwater habitat used for scientific diving research.
31004,31,2014-08-07 16:35:00,2014-08-07 17:14:00,NOAA,Atlantic,United States,us,-5,Conch Reef,Terrace,Florida Keys,Great Caribbean,Conch Reef,Shallow,Scientific,2,39,1.6,10,0,0,,,,,3,Manuel Gonzlaez And Catherine Kim,Yes,Yes,,2014.08.07_Caribbean_FKNMS.North_USA_Conch.Reef,,Yes,Yes,Yes,alt2014.08.07_FKNMS.North_Upper.Keys_Conch.Reef.TXT,NA,No,Yes,Yes,go-pro,Yes,Yes,d,Yes,623-1032,,,App freezed. All survey at a fixed ISO,,Soft coral terrace,Soft coral,"Low, no lion fish",none,none,none,
31005,31,2014-08-08 13:13:00,2014-08-08 13:57:00,NOAA,Atlantic,United States,us,-5,Davis Reef,Spur And Grooves,Florida Keys,Great Caribbean,Davis Reef,Shallow,Scientific,3,44,1.6,10,0,0,24'55.44408N,80'30.09604W,24'55.04415N,80'30.51161W,3,Manuel Gonzlaez And Catherine Kim,Yes,Yes,,2014.08.08_Caribbean_FKNMS.North_USA_Davis.Reef,,No,No,No,alt2014.08.08_FKNMS.North_Upper.Reef_Davis.Reef_Crocker.Reef.TXT,NA,No,Yes,Yes,go-pro,Yes,Yes,c,Yes,23-478,,,,,Soft coral terrace,Soft coral,Low,none,none,none,
31006,31,2014-08-08 13:13:00,2014-08-08 13:57:00,NOAA,Atlantic,United States,us,-5,Crocker Reef,Spur And Grooves,Florida Keys,Great Caribbean,Crocker Reef,Shallow,Scientific,3,44,1.6,10,0,0,24'54.63854N,80'31.25678W,24'54.90166N,80'30.63323W,3,Manuel Gonzlaez And Catherine Kim,No,No,calibrated no transect videos,,,No,No,No,,,No,Yes,Yes,none,Yes,Yes,c,No,532-1080,,,,,Soft coral terrace,Soft coral,low,none,none,,
31007,31,2014-08-09 13:00:00,2014-08-09 13:22:00,NOAA,Atlantic,United States,us,-5,Coral Nursery,,Florida Keys,Great Caribbean,Coral Nursery,Shallow,Engagement,4,22,1.6,5,0,0,24'58.92533N,80'26.16298W,24'58.923715N,80'25.28663W,3,"Christophe Bailhache, Manuel Gonzalez",No,No,calibrated no transect videos,,,Yes,Yes,Yes,alt2014.08.09_FKNMS.North_Upper.Reef_Nursery_Snapper.Ledge.TXT,,No,Yes,Yes,none,Yes,Yes,c,No,16-398,,,,,"sandy bottom, coral nursery",NA,low,none,none,,Nursery where corals are grown to outplant on to the reef
31008,31,2014-08-09 15:50:00,2014-08-09 16:59:00,NOAA,Atlantic,United States,us,-5,Snapper Ledge,Terrace,Florida Keys,Great Caribbean,Snapper Ledge,Shallow,Scientific/Engagement,4,69,1.6,10,0,0,24'58.92336N,80'25.28663W,24'58.87628N,80'25.32153W,3,"Christophe Bailhache, Manuel Gonzalez",No,No,calibrated no transect videos,,,Yes,Yes,Yes,alt2014.08.09_FKNMS.North_Upper.Reef_Nursery_Snapper.Ledge.TXT,,No,Yes,Yes,none,Yes,Yes,c,No,401-845,,,,,soft coral terrace,Soft coral,"abundant small/med, lots of snappers",none,none,none,
31009,31,2014-08-10 13:16:00,2014-08-10 14:48:00,NOAA,Atlantic,United States,us,-5,Molasses Reef,Patch,Florida Keys,Great Caribbean,Molasses Reef,Shallow,Scientific,5,92,1.6,20,0,0,24'0.44375N,80'22.60496W,25'0.56651N,80'22.49773W,3,"Christophe Bailhache, Manuel Gonzalez",No,No,calibrated no transect videos,,,No,No,No,,not turned on,No,Yes,No,none,Yes,Yes,c,No,14-1124,"surveyed at three different depths, 15ft, 45ft, 60ft",,,,soft coral terrace,"Soft coral, sponges","low, barracudas",none,none,none,Popular tourism dive and snorkel site. 'Most dived reef in the world.'
31010,31,2014-08-10 16:12:00,2014-08-10 16:42:00,NOAA,Atlantic,United States,us,-5,French Reef,Patch,Florida Keys,Great Caribbean,French Reef,Shallow,Engagement,5,30,1.6,5,0,0,25'2.95399N,80'20.91091W,25'2.47763N,80'20.47041W,3,"Christophe Bailhache, Manuel Gonzalez",No,No,calibrated no transect videos,,,Yes,Yes,Yes,alt2014.08.10_FKNMS.North_Upper.Reef_French.Reef.TXT,,No,Yes,No,none,Yes,Yes,c,No,1212-1755,,,,,patch reef,Soft coral,low,none,none,,
