transectid,exp_id,start_datetime,end_datetime,campaing,region,country,country_code,timezone,reef_name,reef_type,sub_region,local_region,transects_reef_section,transects_type,transects_se_type,expedition_day,duration,transects_length,dive_maximum_depth,dive_visibility,dive_temperature,dive_start_lat,dive_start_lng,dive_end_lat,dive_end_lng,dive_team,dive_divers,tech_stereo_gopro,tech_stereo_gopro_valid,tech_stereo_gopro_comments,tech_stereo_gopro_name,tech_gopro_name,tech_altimeter,tech_altimeter_valid,tech_altimeter_synced,tech_altimeter_name,tech_altimeter_comments,tech_imu,tech_gps,tech_sensor,tech_floatie_gopro,tech_lasers,tech_sv_valid,tech_sv_camera,tech_sv_tilted,tech_sv_image_numbers,tech_sv_comments,tech_sv_name,tech_sv_issues,tech_engagement_notes,obs_topography,obs_reef_cover,obs_fish_life,obs_disease_incidence,obs_bleaching_intensity,obs_human_impacts,dive_observations
10001,10,2012-09-16 16:16:00,2012-09-16 16:53:00,GBR,Australia,Australia,au,10,Opal Reef,Outer,Cairns-Cooktown,Great Barrier Reef,Northern Opal/Bottom end,Shallow,Scientific,1,37,1.219,12.6,20,0,16'11.316S,145'53.883E,16'11.491S,145'53.630E,1,"Anjani Ganase, Christophe Bailhache",No,No,"","","",No,No,No,"","",Yes,Yes,Yes,"",No,No,2a,No,"",IMU may not have been installed correctly,"","","","","","","","","",""
10002,10,2012-09-17 10:54:00,2012-09-17 11:54:00,GBR,Australia,Australia,au,10,Opal Reef,Outer,Cairns-Cooktown,Great Barrier Reef,Northern Opal/Top end,Shallow,Scientific,1,60,2.513,13.5,20,0,"","","","",1,"Christophe Bailhache, Manuel Gonzalez Rivero",No,No,"","",20120917_opal_d2,No,No,No,"","",Yes,Yes,Yes,"",No,No,2a,No,"","","","Camera #2 dropped off, had to restart the camera, re-download the photo where it dropped (0875b)","","","","","","","",Soft corals dominate
10003,10,2012-09-18 13:30:16,2012-09-18 14:10:05,GBR,Australia,Australia,au,10,Opal Reef,Outer,Cairns-Cooktown,Great Barrier Reef,"Northern Opal, Northen tip",Engagement,Engagement,2,40,0.898,16.6,20,25.5,"","","","",1,"Christophe Bailhache, Manuel Gonzalez Rivero",No,No,"","","",No,No,No,"","",Yes,Yes,Yes,"",No,No,2a,No,"","",2012.09.18_GBR_Opal.Reef_T1_0012a.CR2,Issues with SVII - Turning on orb and recognition,"","","","","","","",Curious grouper
10004,10,2012-09-20 12:43:39,2012-09-20 13:26:24,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea,Southern tip of western cay,Shallow,Scientific,4,43,1.816,12,0,0,"","","","",1,"Christophe Bailhache, Manuel Gonzalez Rivero",No,No,"","","",No,No,No,"","",Yes,Yes,Yes,"",No,No,1,No,"","","","SVI used for the first dive, photos for each camera would be found in separate folders.
 2. IMU from SVII was used in SVI for the first dive (note that the IMU in SVI has a different orientation) and new IMU was used in SVII for the second 2 dives.","","","","","","","","Typically exposed to wind action. Mainly juvenile corals. Reef fish scattered, low abundance"
10005,10,2012-09-20 15:43:39,2012-09-20 16:26:02,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea,"Northern tip, west Holmes",Shallow,Scientific,4,42,1.426,13.3,40,26.4,"","","","",1,"Christophe Bailhache, Anjani Ganase",No,No,"","",20120920_wholmes_d5,No,No,No,"","",Yes,Yes,Yes,"",No,No,"",No,"","","","","","","","","","","","Very small coral colonies, no large. Many juvenile sharks, especially white tip and grey reef."
10006,10,2012-09-20 15:45:00,2012-09-20 16:35:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea,"Southern tip, north-west Holmes",Shallow and Engagement,Scientific/Engagement,5,50,2,14,0,0,"","","","",1,"Christophe Bailhache, Manuel Gonzalez Rivero",No,No,"","",20120920_wholmes_d6,No,No,No,"","",Yes,Yes,Yes,"",No,No,2a,No,"","",2012.09.20_GBR_Holmes.Reef_T1_0926b.CR2,"","","","","","","","",0
10007,10,2012-09-21 13:03:00,2012-09-21 13:35:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea,Western Holmes,Engagement,Engagement,5,32,0.669,14.6,0,26.2,"","","","",1,"Christophe Bailhache, Anjani Ganase",No,No,"","","",No,No,No,"","",No,Yes,No,"",No,No,"",No,"","",2012.09.21_GBR_Holmes.Reef_T1_0930a.CR2,"","","","","","","","","lots of algae growth on coral, including cyanobacteria"
10008,10,2012-09-21 09:17:00,2012-09-21 10:00:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea,"Western flanks, middle front reef",Shallow,Scientific,5,43,1.725,13.1,0,0,"","","","",1,"Christophe Bailhache, Manuel Gonzalez Rivero",No,No,"","","",No,No,No,"","",Yes,Yes,Yes,"",No,No,"",No,"","","",Note from 2012.09.21_GBR_Holmes.Reef_T1_0906a.CR2 to 2012.09.21_GBR_Holmes.Reef_T1_0929c.CR2 training dive for Anjani so now xmp files are attached,"","","","","","","",Dominated by small sizes of tubular acropora and pociphora. Bigger fish more common here in comparison to other reefs.
10009,10,2012-09-22 08:37:00,2012-09-22 09:21:00,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea,"Eastern Holmes, Northern end",Shallow,Scientific,6,44,1.813,12.6,40,26.3,"","","","",1,"Christophe Bailhache, Anjani Ganase",No,No,"","",20120922_eholmes_d7,No,No,No,"","",Yes,Yes,Yes,"",No,No,2a,No,"","",2012.09.22_GBR_Holmes.Reef,"","","","","","","","",new coral regrowth over dead coral
10010,10,2012-09-22 10:53:07,2012-09-22 11:39:49,GBR,Australia,Australia,au,10,Holmes Reef,Outer,Coral Sea,Coral Sea,Eastern Holmes / Northern end,Shallow,Scientific,6,47,1.765,16.3,40,26.5,"","","","",1,"Anjani Ganase, Manuel Gonzalez Rivero",No,No,"","","",No,No,No,"","",Yes,Yes,Yes,"",No,No,2a,No,"","",2012.09.22_GBR_Holmes.Reef,"","","","","","","","",small reef fish
